nlm_name,abbreviation,issn,jif2020,publons_publisher,scimago_publisher,nlmcatalog_publisher
Facial plastic surgery : FPS,Facial Plast Surg,0736-6825,NA,Thieme Publishing Group,Thieme Medical Publishers Inc.,Thieme-Stratton Inc.
General dentistry,Gen Dent,0363-6771,NA,Academy of General Dentistry,Academy of General Dentistry,Academy of General Dentistry
Gerodontology,Gerodontology,0734-0664,2.98,Wiley,Blackwell Munksgaard,Beech Hill Pub. Co.
Head & face medicine,Head Face Med,1746-160X,2.151,Springer Nature,BioMed Central Ltd.,BioMed Central
Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,Hua Xi Kou Qiang Yi Xue Za Zhi,1000-1182,NA,NA,Sichuan yi xue yuan,Sichuan yi xue yuan
Indian journal of dental research : official publication of Indian Society for Dental Research,Indian J Dent Res,0970-9290,NA,Medknow Publications,Wolters Kluwer Medknow Publications,The Society
International dental journal,Int Dent J,0020-6539,2.512,Wiley,Wiley-Blackwell,FDI World Dental
International endodontic journal,Int Endod J,0143-2885,5.264,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Scientific Publications
International journal of computerized dentistry,Int J Comput Dent,1463-4201,1.883,Quintessenz Verlags GmbH,Quintessenz Verlags GmbH,Quintessence Pub. Co.
International journal of dental hygiene,Int J Dent Hyg,1601-5029,2.477,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Pub.
The international journal of esthetic dentistry,Int J Esthet Dent,2198-591X,NA,NA,Quintessenz Verlags GmbH,Quintessence Pub. Co.
International journal of implant dentistry,Int J Implant Dent,2198-4034,2.384,Springer Nature,NA,Springer
"International journal of oral implantology (Berlin, Germany)",Int J Oral Implantol (Berl),2631-6420,NA,Quintessenz Verlags GmbH,Quintessence Publishing Company,Quintessence Verlags-GmbH
The International journal of oral & maxillofacial implants,Int J Oral Maxillofac Implants,0882-2786,2.804,Quintessence Publishing Company,Quintessence Publishing Company,Quintessence Pub. Co.
International journal of oral and maxillofacial surgery,Int J Oral Maxillofac Surg,0901-5027,2.789,Elsevier,Churchill Livingstone,Munksgaard
International journal of oral science,Int J Oral Sci,1674-2818,6.344,Springer Nature,Sichuan University Press,"West China College of Stomatology, Sichuan University Press"
International journal of paediatric dentistry,Int J Paediatr Dent,0960-7439,NA,Wiley,Wiley-Blackwell Publishing Ltd,Blackwell Scientific Publications
The International journal of periodontics & restorative dentistry,Int J Periodontics Restorative Dent,0198-7569,1.84,Quintessence Publishing Company,Quintessence Publishing Company,Quintessence Pub. Co.
The International journal of prosthodontics,Int J Prosthodont,0893-2174,1.681,Quintessence Publishing Company,Quintessence Publishing Company,Quintessence Pub. Co.
International orthodontics,Int Orthod,1761-7727,NA,Elsevier,Elsevier Masson,Masson
The journal of adhesive dentistry,J Adhes Dent,1461-5185,2.359,Quintessence Publishing Company,Quintessence Publishing Company,Quintessence Pub. Co.
Journal of the American Dental Association (1939),J Am Dent Assoc,0002-8177,3.634,American Dental Association,American Dental Association,American Dental Association
Journal of applied oral science : revista FOB,J Appl Oral Sci,1678-7757,2.698,Faculdade de Odontologia de Bauru,Faculdade de Odontologia de Bauru,Faculdade de Odontologia de Bauru
Journal (Canadian Dental Association),J Can Dent Assoc,0709-8936,1.316,Canadian Dental Association,Canadian Dental Association,Canadian Dental Association
The Journal of clinical dentistry,J Clin Dent,0895-8831,NA,Professional Audience Communications Inc.,Professional Audience Communications Inc.,Professional Audience Communications
Journal of clinical orthodontics : JCO,J Clin Orthod,0022-3875,NA,NA,Journal of Clinical Orthodontics,"JPO, Inc."
The Journal of clinical pediatric dentistry,J Clin Pediatr Dent,1053-4628,1.065,NA,Journal of Clinical Pediatric Dentistry,"Journal of Pedodontics, Inc."
